_id,,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
{'$oid': '65ec3b91dfac9a2248e12b2a'},0,Albania,Maize,1990,36613,1485,121.0,16.37
{'$oid': '65ec3b91dfac9a2248e12b2b'},1,Albania,Potatoes,1990,66667,1485,121.0,16.37
{'$oid': '65ec3b91dfac9a2248e12b2c'},2,Albania,"Rice, paddy",1990,23333,1485,121.0,16.37
{'$oid': '65ec3b91dfac9a2248e12b2d'},3,Albania,Sorghum,1990,12500,1485,121.0,16.37
{'$oid': '65ec3b91dfac9a2248e12b2e'},4,Albania,Soybeans,1990,7000,1485,121.0,16.37
{'$oid': '65ec3b91dfac9a2248e12b2f'},5,Albania,Wheat,1990,30197,1485,121.0,16.37
{'$oid': '65ec3b91dfac9a2248e12b30'},6,Albania,Maize,1991,29068,1485,121.0,15.36
{'$oid': '65ec3b91dfac9a2248e12b31'},7,Albania,Potatoes,1991,77818,1485,121.0,15.36
{'$oid': '65ec3b91dfac9a2248e12b32'},8,Albania,"Rice, paddy",1991,28538,1485,121.0,15.36
{'$oid': '65ec3b91dfac9a2248e12b33'},9,Albania,Sorghum,1991,6667,1485,121.0,15.36
{'$oid': '65ec3b91dfac9a2248e12b34'},10,Albania,Soybeans,1991,6066,1485,121.0,15.36
{'$oid': '65ec3b91dfac9a2248e12b35'},11,Albania,Wheat,1991,20698,1485,121.0,15.36
{'$oid': '65ec3b91dfac9a2248e12b36'},12,Albania,Maize,1992,24876,1485,121.0,16.06
{'$oid': '65ec3b91dfac9a2248e12b37'},13,Albania,Potatoes,1992,82920,1485,121.0,16.06
{'$oid': '65ec3b91dfac9a2248e12b38'},14,Albania,"Rice, paddy",1992,40000,1485,121.0,16.06
{'$oid': '65ec3b91dfac9a2248e12b39'},15,Albania,Sorghum,1992,3747,1485,121.0,16.06
{'$oid': '65ec3b91dfac9a2248e12b3a'},16,Albania,Soybeans,1992,4507,1485,121.0,16.06
{'$oid': '65ec3b91dfac9a2248e12b3b'},17,Albania,Wheat,1992,24388,1485,121.0,16.06
{'$oid': '65ec3b91dfac9a2248e12b3c'},18,Albania,Maize,1993,24185,1485,121.0,16.05
{'$oid': '65ec3b91dfac9a2248e12b3d'},19,Albania,Potatoes,1993,98446,1485,121.0,16.05
{'$oid': '65ec3b91dfac9a2248e12b3e'},20,Albania,"Rice, paddy",1993,41786,1485,121.0,16.05
{'$oid': '65ec3b91dfac9a2248e12b3f'},21,Albania,Soybeans,1993,7998,1485,121.0,16.05
{'$oid': '65ec3b91dfac9a2248e12b40'},22,Albania,Wheat,1993,29976,1485,121.0,16.05
{'$oid': '65ec3b91dfac9a2248e12b41'},23,Albania,Maize,1994,25848,1485,201.0,16.96
{'$oid': '65ec3b91dfac9a2248e12b42'},24,Albania,Potatoes,1994,81404,1485,201.0,16.96
{'$oid': '65ec3b91dfac9a2248e12b43'},25,Albania,Soybeans,1994,7927,1485,201.0,16.96
{'$oid': '65ec3b91dfac9a2248e12b44'},26,Albania,Wheat,1994,24745,1485,201.0,16.96
{'$oid': '65ec3b91dfac9a2248e12b45'},27,Albania,Maize,1995,31300,1485,251.0,15.67
{'$oid': '65ec3b91dfac9a2248e12b46'},28,Albania,Potatoes,1995,111323,1485,251.0,15.67
{'$oid': '65ec3b91dfac9a2248e12b47'},29,Albania,Soybeans,1995,11791,1485,251.0,15.67
{'$oid': '65ec3b91dfac9a2248e12b48'},30,Albania,Wheat,1995,28703,1485,251.0,15.67
{'$oid': '65ec3b91dfac9a2248e12b49'},31,Albania,Maize,1996,32604,1485,313.96,15.64
{'$oid': '65ec3b91dfac9a2248e12b4a'},32,Albania,Potatoes,1996,106138,1485,313.96,15.64
{'$oid': '65ec3b91dfac9a2248e12b4b'},33,Albania,Soybeans,1996,15480,1485,313.96,15.64
{'$oid': '65ec3b91dfac9a2248e12b4c'},34,Albania,Wheat,1996,21741,1485,313.96,15.64
{'$oid': '65ec3b91dfac9a2248e12b4d'},35,Albania,Maize,1997,31862,1485,376.93,15.9
{'$oid': '65ec3b91dfac9a2248e12b4e'},36,Albania,Potatoes,1997,109874,1485,376.93,15.9
{'$oid': '65ec3b91dfac9a2248e12b4f'},37,Albania,Soybeans,1997,12768,1485,376.93,15.9
{'$oid': '65ec3b91dfac9a2248e12b50'},38,Albania,Wheat,1997,28516,1485,376.93,15.9
{'$oid': '65ec3b91dfac9a2248e12b51'},39,Albania,Maize,1998,33416,1485,439.89,16.27
{'$oid': '65ec3b91dfac9a2248e12b52'},40,Albania,Potatoes,1998,127212,1485,439.89,16.27
{'$oid': '65ec3b91dfac9a2248e12b53'},41,Albania,Soybeans,1998,14327,1485,439.89,16.27
{'$oid': '65ec3b91dfac9a2248e12b54'},42,Albania,Wheat,1998,28037,1485,439.89,16.27
{'$oid': '65ec3b91dfac9a2248e12b55'},43,Albania,Maize,1999,37455,1485,502.86,16.57
{'$oid': '65ec3b91dfac9a2248e12b56'},44,Albania,Potatoes,1999,142018,1485,502.86,16.57
{'$oid': '65ec3b91dfac9a2248e12b57'},45,Albania,Soybeans,1999,17143,1485,502.86,16.57
{'$oid': '65ec3b91dfac9a2248e12b58'},46,Albania,Wheat,1999,24954,1485,502.86,16.57
{'$oid': '65ec3b91dfac9a2248e12b59'},47,Albania,Maize,2000,38811,1485,565.82,16.67
{'$oid': '65ec3b91dfac9a2248e12b5a'},48,Albania,Potatoes,2000,141228,1485,565.82,16.67
{'$oid': '65ec3b91dfac9a2248e12b5b'},49,Albania,Soybeans,2000,15000,1485,565.82,16.67
{'$oid': '65ec3b91dfac9a2248e12b5c'},50,Albania,Wheat,2000,30455,1485,565.82,16.67
{'$oid': '65ec3b91dfac9a2248e12b5d'},51,Albania,Maize,2001,38135,1485,628.79,16.59
{'$oid': '65ec3b91dfac9a2248e12b5e'},52,Albania,Potatoes,2001,148818,1485,628.79,16.59
{'$oid': '65ec3b91dfac9a2248e12b5f'},53,Albania,Soybeans,2001,20000,1485,628.79,16.59
{'$oid': '65ec3b91dfac9a2248e12b60'},54,Albania,Wheat,2001,28220,1485,628.79,16.59
